,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,4.34,0,1,3.117119732,5.650137767,19
1,1,2,4.12,0,1,3.154850894,5.655760441,19
2,1,3,3.9,0,1,3.194513917,5.661555455,19
3,1,4,3.59,0,1,3.248700902,5.667360441,19
4,1,5,3.51,0,1,3.272673134,5.673333938,19
5,1,6,3.38,0,1,3.303176973,5.679472548,19
6,1,7,3.26,0,1,3.332352794,5.685637432,19
7,1,8,3.4,0,1,3.324403548,5.691825938,19
8,1,9,2.96,0,1,3.396142091,5.698166323,19
9,1,10,2.88,0,1,3.418394798,5.703991694,19
10,1,11,3.92,0,1,3.277092457,5.709318468,19
11,1,12,5.12,0,1,3.097001697,5.714777635,19
12,1,13,6.27,0,1,2.910367081,5.720199385,19
13,1,14,7.08,0,1,2.749261351,5.725611584,19
14,1,15,7.24,0,1,2.635847105,5.730707371,19
15,1,16,6.54,0,1,2.622358142,5.735437668,19
16,1,17,5.42,0,1,2.70432015,5.739646836,19
17,1,18,4.86,0,1,2.809987559,5.743265854,19
18,1,19,4.47,0,1,2.895100434,5.746330484,19
19,1,20,4.09,0,1,2.97989526,5.749400436,19
20,1,21,4.11,0,1,3.008477003,5.752697813,19
21,1,22,3.93,0,1,3.06134279,5.75585291,19
22,1,23,3.63,0,1,3.130110701,5.758845442,19
23,1,24,3.63,0,1,3.156520185,5.761805716,19
24,2,1,10.48,0,1,1.71549139,6.793559316,12
25,2,2,10.36,0,1,1.729343654,6.800850766,12
26,2,3,10.17,0,1,1.75508958,6.809008035,12
27,2,4,10,0,1,1.78052043,6.817780032,12
28,2,5,10.1,0,1,1.769404644,6.826654355,12
29,2,6,9.86,0,1,1.805141454,6.835661755,12
30,2,7,9.38,0,1,1.87790879,6.844668193,12
31,2,8,9.12,0,1,1.924724619,6.854033809,12
32,2,9,8.94,0,1,1.962413497,6.863932084,12
33,2,10,9.25,0,1,1.928053787,6.873996311,12
34,2,11,9.82,0,1,1.844140683,6.884183584,12
35,2,12,10.23,0,1,1.778290605,6.894441956,12
36,2,13,10.81,0,1,1.684340259,6.905171716,12
37,2,14,11.35,0,1,1.578921487,6.91614164,12
38,2,15,11.58,0,1,1.481744638,6.927109322,12
39,2,16,11.49,0,1,1.449654026,6.937918212,12
40,2,17,11.35,0,1,1.435485848,6.948688385,12
