,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,6.05,0.0,1,2.87145154248007,5.176274674390732,5
1,1,2,6.4,0.0,1,2.806811748258097,5.174038851071693,5
2,1,3,6.67,0.0,1,2.7510960106679923,5.171570683119953,5
3,1,4,6.719999999999999,0.0,1,2.7255860211492604,5.169637681245396,5
4,1,5,6.709999999999998,0.0,1,2.710347611034793,5.16868286873604,5
5,1,6,6.539999999999999,0.0,1,2.720174053201008,5.168051490821323,5
6,1,7,6.339999999999998,0.0,1,2.738229075893658,5.168028067280275,5
7,1,8,7.1499999999999995,0.0,1,2.6160384350014803,5.168466724964132,5
8,1,9,7.259999999999999,0.0,1,2.584661514610845,5.169181045729925,5
9,1,10,7.540000000000001,0.0,1,2.5274075315904985,5.170456333067538,5
10,1,11,7.83,0.0,1,2.465217098460547,5.172488231601655,5
11,1,12,8.17,0.0,1,2.3867190370083065,5.174591974774341,5
12,1,13,8.599999999999998,0.0,1,2.293163574860372,5.176721073393589,5
13,1,14,8.87,0.0,1,2.229851536886387,5.180209512519647,5
14,1,15,8.849999999999998,0.0,1,2.20474862222615,5.185339642703167,5
15,1,16,8.57,0.0,1,2.22075834328357,5.191654586599824,5
16,1,17,8.33,0.0,1,2.240487321376602,5.198324112482633,5
17,1,18,8.109999999999998,0.0,1,2.2676242032353957,5.205030841486452,5
18,1,19,7.329999999999999,0.0,1,2.3779178820305265,5.212301029339344,5
19,1,20,6.81,0.0,1,2.460958556201646,5.220237096317703,5
20,1,21,5.93,0.0,1,2.6006965151265358,5.228659463547039,5
21,1,22,5.26,0.0,1,2.7196291909589068,5.23727377077396,5
22,1,23,4.3999999999999995,0.0,1,2.8710354768358357,5.245833213365758,5
23,1,24,4.089999999999999,0.0,1,2.9510443342479884,5.254433566179525,5
24,2,1,2.919999999999999,0.0,1,3.3476513582042378,6.853512035389807,3
25,2,2,2.7700000000000014,0.0,1,3.3895199075217075,6.852444748356528,3
26,2,3,2.619999999999999,0.0,1,3.4306540594677286,6.85048630667003,3
27,2,4,2.54,0.0,1,3.4611623342126,6.8482445578846605,3
28,2,5,2.520000000000001,0.0,1,3.481681131324302,6.8459286348602335,3
29,2,6,2.559999999999999,0.0,1,3.491645345837364,6.843431112112573,3
30,2,7,2.619999999999999,0.0,1,3.4962672997708033,6.8405689739539435,3
31,2,8,2.859999999999999,0.0,1,3.472791952088329,6.837705718182967,3
32,2,9,3.1600000000000006,0.0,1,3.436539263666474,6.834780802147261,3
33,2,10,3.8799999999999994,0.0,1,3.334662127143336,6.831535302261357,3
34,2,11,4.980000000000001,0.0,1,3.163388463020363,6.82804977337901,3
35,2,12,5.93,0.0,1,3.0009193325459544,6.824499137680091,3
36,2,13,6.39,0.0,1,2.893180411561513,6.8209374460101815,3
37,2,14,6.539999999999999,0.0,1,2.8352722394446284,6.817545019604234,3
38,2,15,6.76,0.0,1,2.7545431361910047,6.814267745685762,3
39,2,16,7.0,0.0,1,2.695849469740453,6.8111124120815045,3
40,2,17,7.18,0.0,1,2.635064994501358,6.807812657154915,3
41,2,18,7.46,0.0,1,2.575899451761309,6.803912044501827,3
42,2,19,7.610000000000001,0.0,1,2.534234696012767,6.799193301105532,3
43,2,20,7.010000000000001,0.0,1,2.6002585883650977,6.794002952876454,3
44,2,21,6.920000000000001,0.0,1,2.603491663727945,6.788605127979678,3
45,2,22,6.629999999999999,0.0,1,2.637593884139964,6.78288921981416,3
46,2,23,6.680000000000001,0.0,1,2.627731939272898,6.77701218835931,3
47,2,24,6.349999999999999,0.0,1,2.671797734964823,6.771017953431345,3
48,3,1,6.18,0.0,1,2.697531444004853,6.764736558401999,5
49,3,2,5.969999999999998,0.0,1,2.7308984879705687,6.758219091917596,5
50,3,3,5.830000000000001,0.0,1,2.7564614364238222,6.751926217348829,5
51,3,4,5.75,0.0,1,2.77449806992816,6.745932383846467,5
52,3,5,5.799999999999999,0.0,1,2.7741454271751667,6.7403299095836084,5
53,3,6,5.950000000000001,0.0,1,2.7580446954320488,6.735176219112534,5
54,3,7,6.010000000000001,0.0,1,2.7522411584522213,6.730444710762155,5
55,3,8,6.02,0.0,1,2.752472537185493,6.726255105895089,5
56,3,9,6.099999999999999,0.0,1,2.7426564246235623,6.722603733128379,5
57,3,10,6.320000000000001,0.0,1,2.708952707631296,6.7193082828295045,5
58,3,11,6.74,0.0,1,2.637034053111368,6.716287343283354,5
59,3,12,7.27,0.0,1,2.544558649065026,6.713426196230652,5
60,3,13,7.74,0.0,1,2.4578336454429937,6.710762767177927,5
61,3,14,7.629999999999999,0.0,1,2.4422816217911847,6.708470499480547,5
62,3,15,7.62,0.0,1,2.375582083476657,6.706578764273618,5
63,3,16,7.290000000000001,0.0,1,2.371207515426612,6.705205397390745,5
64,3,17,7.1499999999999995,0.0,1,2.341828700865938,6.704207453918285,5
65,3,18,7.290000000000001,0.0,1,2.340817390628395,6.703203000067443,5
66,3,19,7.46,0.0,1,2.331374520252332,6.702423843978784,5
67,3,20,7.480000000000001,0.0,1,2.339329557561918,6.702088888728314,5
68,3,21,8.02,0.0,1,2.271489133677168,6.702193827842456,5
