,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,13.61,0,1,0.476283551,15.16446848,11
1,1,2,12.93,0,1,0.910505141,15.1684395,11
2,1,3,12.48,0,1,1.257144771,15.17236314,11
3,1,4,11.96,0,1,1.586690659,15.17608433,11
4,1,5,12.02,0,1,1.754050975,15.18014315,11
5,1,6,11.66,0,1,1.983003282,15.18527789,11
6,1,7,12.35,0,1,1.942316206,15.1913574,11
7,1,8,14.15,0,1,1.564011261,15.19821543,11
8,1,9,17.5,0,1,0.712665404,15.20605125,11
9,1,10,20.88,0,1,0,15.21495447,11
10,1,11,23.31,0,1,0,15.22571796,11
11,1,12,25.23,-0.104475646,1,0,15.23729671,11
12,1,13,26.7,-0.902497998,1,0,15.24881371,11
13,1,14,27.66,-1.512859089,1,0,15.25914627,11
14,1,15,27.99,-1.901095673,1,0,15.2686006,11
15,1,16,27.65,-2.055031442,1,0,15.27706909,11
16,1,17,26.61,-1.977903433,1,0,15.28467591,11
17,1,18,24.83,-1.658873633,1,0,15.29154522,11
18,1,19,22.84,-1.213799093,1,0,15.29778597,11
19,1,20,20.72,-0.669980535,1,0,15.30330001,11
20,1,21,18.66,-0.08066842,1,0,15.30801102,11
21,1,22,17.09,0,1,0,15.31257649,11
22,1,23,16.04,0,1,0,15.31742713,11
23,1,24,15.42,0,1,0,15.32277254,11
24,2,1,16.1,0,1,0,16.22972626,10
25,2,2,15.45,0,1,0.134372215,16.23641802,10
26,2,3,15.13,0,1,0.407678114,16.24357831,10
27,2,4,15.1,0,1,0.583040434,16.25097591,10
28,2,5,15.25,0,1,0.683325913,16.25847094,10
29,2,6,15.34,0,1,0.766231117,16.26583255,10
30,2,7,15.43,0,1,0.824542053,16.27279721,10
31,2,8,15.62,0,1,0.832448111,16.27967331,10
32,2,9,15.9,0,1,0.797195377,16.28666357,10
33,2,10,16.57,0,1,0.647498797,16.29403971,10
34,2,11,17.53,0,1,0.385665182,16.30156101,10
35,2,12,18.13,0,1,0.189783801,16.30898808,10
36,2,13,18.73,0,1,0,16.31654539,10
37,2,14,19.38,0,1,0,16.32410024,10
38,2,15,18.88,0,1,0,16.33144644,10
39,2,16,18.76,0,1,0,16.33853862,10
40,2,17,18.21,0,1,0,16.34592992,10
41,2,18,17.8,0,1,0,16.35347729,10
42,2,19,16.91,0,1,0.233923126,16.36026838,10
43,2,20,16.1,0,1,0.486642229,16.36625724,10
44,2,21,15.44,0,1,0.719555429,16.37092664,10
45,2,22,15.05,0,1,0.894137578,16.37453035,10
46,2,23,14.84,0,1,1.021869888,16.37775185,10
47,2,24,14.77,0,1,1.107483065,16.37991049,10
48,3,1,12.29,0,1,1.691361321,17.03602141,19
49,3,2,12.29,0,1,1.826435361,17.02787095,19
50,3,3,12.04,0,1,1.993923134,17.0186598,19
51,3,4,11.72,0,1,2.16425953,17.00903105,19
52,3,5,11.55,0,1,2.290234796,16.99926456,19
53,3,6,11.12,0,1,2.466053366,16.98941362,19
54,3,7,10.45,0,1,2.697139007,16.97991419,19
55,3,8,12.1,0,1,2.369967849,16.97081534,19
56,3,9,15.47,0,1,1.480545149,16.96276192,19
57,3,10,17.47,0,1,0.820585524,16.9552499,19
58,3,11,19.3,0,1,0.17760775,16.94821513,19
59,3,12,21.04,0,1,0,16.94139164,19
60,3,13,22.55,0,1,0,16.93504364,19
61,3,14,23.63,0,1,0,16.92906916,19
62,3,15,24.1,-0.177551244,1,0,16.92251652,19
63,3,16,23.97,-0.422652844,1,0,16.91467905,19
64,3,17,23.25,-0.457908552,1,0,16.90585021,19
65,3,18,22.19,-0.348803269,1,0,16.8970659,19
66,3,19,20.31,0,1,0,16.88778187,19
67,3,20,18.17,0,1,0,16.87834578,19
68,3,21,16.53,0,1,0,16.86856471,19
69,3,22,15.49,0,1,0,16.85900505,19
70,3,23,14.85,0,1,0.006846457,16.85063341,19
