DN,d,s,Di,Ri,h,Ext_D_S1,t_S1,R0_S1,Ext_D_S2,t_S2,R0_S2,Ext_D_S3,t_S3,R0_S3,U_S1,U_S2,U_S3,Rel_roughness,Friction_factor,Max_mflow,B_S1,Res_S1,B_S2,Res_S2,B_S3,Res_S3,vmax,Cost_S1,Cost_S2,Cost_S3
20,0.0269,0.0026,0.0217,0.01085,0.003,0.09,0.0286,0.045,0.11,0.0386,0.055,0.125,0.0461,0.0625,0.1292,0.111,0.1019,0.002073733,0.023647549,0.200210297,94.83316065,8.705746713,108.211207,9.871951137,116.7334318,10.61497477,0.542433521,276,282,287
25,0.0337,0.0026,0.0285,0.01425,0.003,0.09,0.0252,0.045,0.11,0.0352,0.055,0.125,0.0427,0.0625,0.1572,0.131,0.1186,0.001578947,0.022015217,0.410185972,76.6603722,7.098919123,90.03841857,8.26512352,98.56064334,9.008147129,0.644274082,291,296,303
32,0.0424,0.0026,0.0372,0.0186,0.003,0.11,0.0308,0.055,0.125,0.0383,0.0625,0.14,0.0458,0.07,0.1607,0.1424,0.1294,0.001209677,0.020577936,0.825822249,72.27810697,6.69476671,80.80033173,7.437790301,88.35557742,8.096592361,0.761342856,310,317,325
40,0.0483,0.0026,0.0431,0.02155,0.003,0.11,0.0279,0.055,0.125,0.0354,0.0625,0.14,0.0429,0.07,0.1843,0.1606,0.1442,0.001044084,0.019843298,1.215112228,62.46382458,5.826993239,70.98604935,6.570016829,78.54129503,7.228818881,0.834528991,330,337,344
50,0.0603,0.0029,0.0545,0.02725,0.003,0.125,0.0294,0.0625,0.14,0.0369,0.07,0.16,0.0469,0.08,0.2054,0.179,0.1562,0.000825688,0.018751007,2.247548667,55.34086904,5.186678279,62.89611473,5.845480347,71.79820757,6.621840824,0.965374176,355,363,372
65,0.0761,0.0029,0.0703,0.03515,0.003,0.14,0.029,0.07,0.16,0.039,0.08,0.18,0.049,0.09,0.241,0.2009,0.1754,0.000640114,0.017665065,4.375833992,45.92470825,4.344876936,54.82680109,5.121237509,62.67900347,5.806152039,1.129613216,386,403,420
80,0.0889,0.0032,0.0825,0.04125,0.003,0.16,0.0326,0.08,0.18,0.0426,0.09,0.2,0.0526,0.1,0.2484,0.2105,0.1857,0.000545455,0.017030023,6.649016263,44.15836813,4.17793939,52.0105705,4.862854039,59.03460488,5.475633097,1.246318597,428,440,453
100,0.1143,0.0036,0.1071,0.05355,0.0032,0.2,0.0397,0.1,0.225,0.0522,0.1125,0.25,0.0647,0.125,0.2599,0.2193,0.193,0.000420168,0.016065518,13.14487487,41.63695927,3.9373398,49.48916165,4.622494386,56.51319603,5.235508884,1.46203272,483,500,516
125,0.1397,0.0036,0.1325,0.06625,0.0035,0.225,0.0392,0.1125,0.25,0.0517,0.125,0.28,0.0667,0.14,0.3002,0.253,0.2162,0.000339623,0.015338341,22.90238149,35.30118379,3.36799655,42.32521816,3.981011655,49.88046385,4.640529109,1.664287937,541,559,576
150,0.1683,0.004,0.1603,0.08015,0.0039,0.25,0.037,0.125,0.28,0.052,0.14,0.315,0.0695,0.1575,0.3557,0.287,0.2388,0.000280724,0.014728614,37.62556358,29.62759055,2.858287218,37.18283624,3.517805989,45.03503861,4.203415993,1.868080325,627,654,681
200,0.2191,0.0045,0.2101,0.10505,0.045,0.315,0.003,0.1575,0.355,0.023,0.1775,0.4,0.0455,0.2,0.3887,0.3047,0.2505,0.000214184,0.013923165,76.10729637,26.99926873,2.608687284,34.96894544,3.304750282,42.92539595,3.999867484,2.199650931,849,899,949
250,0.273,0.005,0.263,0.1315,0.0053,0.4,0.0582,0.2,0.45,0.0832,0.225,0.5,0.1082,0.25,0.3779,0.2985,0.2514,0.000171103,0.013303712,136.5001396,27.95403433,2.67608805,35.80623671,3.362324559,42.83027108,3.976384388,2.517683745,1025,1085,1145
300,0.3239,0.0056,0.3127,0.15635,0.0056,0.45,0.0575,0.225,0.5,0.0825,0.25,0.56,0.1125,0.28,0.44342,0.3412,0.2774,0.000143908,0.012854044,214.0572592,24.26688789,2.341996264,31.29092226,2.956062044,38.84616795,3.616791795,2.792889641,1211,1267,1324
350,0.3556,0.0056,0.3444,0.1722,0.0063,0.5,0.0659,0.25,0.56,0.0959,0.28,0.63,0.1309,0.315,0.4239,0.3297,0.2676,0.000130662,0.012613032,275.0921873,24.85362172,2.386860885,32.40886741,3.047595538,40.26106979,3.734560681,2.958908587,1342,1420,1499
