,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,4.34,0.0,1,3.1171197315373376,5.650137767246705,13
1,1,2,4.120000000000001,0.0,1,3.1548508935497,5.655760441379182,13
2,1,3,3.899999999999999,0.0,1,3.194513917481731,5.661555455384661,13
3,1,4,3.5899999999999985,0.0,1,3.2487009019362114,5.667360440753618,13
4,1,5,3.5099999999999993,0.0,1,3.2726731337599517,5.673333937965281,13
5,1,6,3.3800000000000012,0.0,1,3.3031769729077247,5.6794725478456725,13
6,1,7,3.259999999999999,0.0,1,3.332352794293234,5.685637431987837,13
7,1,8,3.4000000000000004,0.0,1,3.3244035476394056,5.69182593791512,13
8,1,9,2.9599999999999995,0.0,1,3.396142090965858,5.698166322541107,13
9,1,10,2.8800000000000003,0.0,1,3.4183947976722227,5.703991693965021,13
10,1,11,3.9200000000000004,0.0,1,3.277092457439333,5.7093184680246525,13
11,1,12,5.119999999999998,0.0,1,3.097001697091383,5.714777634728488,13
12,1,13,6.27,0.0,1,2.910367080616536,5.720199385281831,13
13,1,14,7.079999999999999,0.0,1,2.749261351030286,5.725611584339185,13
14,1,15,7.240000000000001,0.0,1,2.6358471048621164,5.730707371258725,13
15,1,16,6.539999999999999,0.0,1,2.622358141877932,5.735437667878998,13
16,1,17,5.42,0.0,1,2.7043201501287557,5.739646836388469,13
17,1,18,4.860000000000002,0.0,1,2.8099875594977344,5.743265854324289,13
18,1,19,4.470000000000001,0.0,1,2.8951004340507858,5.746330483629009,13
19,1,20,4.089999999999999,0.0,1,2.9798952600724173,5.749400436063127,13
20,1,21,4.11,0.0,1,3.008477002593523,5.752697812901147,13
21,1,22,3.930000000000001,0.0,1,3.061342789683445,5.755852909939016,13
22,1,23,3.6299999999999994,0.0,1,3.130110701032034,5.758845441668872,13
23,1,24,3.6299999999999994,0.0,1,3.156520184816855,5.761805716317151,13
24,2,1,3.899999999999999,0.0,1,3.0703192386511224,6.718017013296342,11
25,2,2,3.82,0.0,1,3.107482824451007,6.730862318596634,11
26,2,3,3.5699999999999994,0.0,1,3.16661835827235,6.742907485388086,11
27,2,4,3.4499999999999997,0.0,1,3.207339587261497,6.754142263849635,11
28,2,5,3.200000000000001,0.0,1,3.265098125791017,6.765006593552149,11
29,2,6,2.799999999999999,0.0,1,3.3445566175052788,6.7753145646853765,11
30,2,7,2.830000000000001,0.0,1,3.3648125665294457,6.784623976063671,11
31,2,8,2.48,0.0,1,3.4357801405509636,6.793256946335217,11
32,2,9,2.430000000000001,0.0,1,3.4658429983046894,6.801028717765612,11
33,2,10,3.079999999999999,0.0,1,3.3918542000724505,6.807886533370706,11
34,2,11,4.07,0.0,1,3.2523490978804683,6.813748255497682,11
35,2,12,4.910000000000001,0.0,1,3.1152776967925577,6.819010204565812,11
36,2,13,5.59,0.0,1,2.9958043847127653,6.824304984883413,11
37,2,14,5.919999999999999,0.0,1,2.913234589824952,6.829597827531376,11
38,2,15,6.010000000000001,0.0,1,2.8581823378994944,6.834393198696063,11
39,2,16,5.610000000000001,0.0,1,2.813008224832546,6.838826093297585,11
40,2,17,4.99,0.0,1,2.890789649827596,6.842653492355924,11
41,2,18,4.69,0.0,1,2.94882069999618,6.845865063087298,11
42,2,19,4.480000000000001,0.0,1,2.995812307821028,6.848572178009543,11
43,2,20,3.9399999999999995,0.0,1,3.0903243606614046,6.8506984697146125,11
44,2,21,3.64,0.0,1,3.155103239570858,6.852138477664019,11
45,2,22,3.4000000000000004,0.0,1,3.212264303554781,6.853042417687589,11
46,2,23,3.2200000000000006,0.0,1,3.2609410340682814,6.853511655746191,11
47,2,24,3.0499999999999994,0.0,1,3.3075090480815685,6.853758909104299,11
48,3,1,6.18,0.0,1,2.697531444004853,6.764736558401999,5
