DN,Di,s,r0,ri,Rel_roughness,Friction_factor,Max_mflow,B_NoIns,h_S1,Res_NoIns,vmax,Cost_NoIns
20,0.0217,0.0015,0.0123,0.0109,0.000322581,0.015169852,0.25,0.57231646,0.183351746,0.482239273,0.67724984,256
25,0.0285,0.0019,0.0162,0.0143,0.000245614,0.014322335,0.509,0.571349113,0.192849897,0.458488254,0.798776411,265
32,0.0372,0.0025,0.0211,0.0186,0.000188172,0.013560866,1.017,0.570627024,0.203069428,0.435414695,0.937858853,278
40,0.0431,0.0029,0.0245,0.0216,0.000162413,0.013165855,1.492,0.570303175,0.209160782,0.422734185,1.024527956,292
50,0.0545,0.0037,0.0309,0.0273,0.00012844,0.012570937,2.745,0.569876028,0.219597787,0.40264255,1.179028089,311
65,0.0703,0.0047,0.0399,0.0352,9.96E-05,0.011970062,5.316,0.569513042,0.232040307,0.381051956,1.372268785,340
80,0.0825,0.0056,0.0468,0.0413,8.48E-05,0.011614135,8.051,0.569327876,0.240524696,0.367610537,1.509187719,369
100,0.1071,0.0072,0.0608,0.0536,6.54E-05,0.011066847,15.838,0.569082788,0.255582228,0.345952899,1.761539966,413
125,0.1234,0.0083,0.07,0.0617,5.67E-05,0.010785798,22.861,0.568974212,0.264447755,0.334354938,1.915319209,468
150,0.1603,0.0108,0.0909,0.0802,4.37E-05,0.010294187,45.006,0.568809987,0.282228678,0.313289966,2.234500486,530
200,0.2101,0.0142,0.1192,0.1051,3.33E-05,0.009820339,90.622,0.568679807,0.302721655,0.292081558,2.619144808,657
250,0.263,0.0177,0.1492,0.1315,2.66E-05,0.009451417,161.946,0.56859552,0.321511306,0.27501183,2.987026884,802
300,0.3127,0.0211,0.1774,0.1564,2.24E-05,0.00918107,253.281,0.568542313,0.337167951,0.262241451,3.304661663,956
350,0.3444,0.0232,0.1954,0.1722,2.03E-05,0.009035267,325.026,0.568516397,0.346362702,0.255279833,3.495995007,1088
400,0.3938,0.0265,0.2234,0.1969,1.78E-05,0.008838557,459.44,0.568484328,0.359684235,0.2458251,3.779696124,1262
450,0.4446,0.0299,0.2522,0.2223,1.57E-05,0.008665984,628.413,0.568458782,0.372307006,0.237490596,4.055883855,1449
500,0.4954,0.0334,0.2811,0.2477,1.41E-05,0.008516329,830.795,0.568438476,0.384014838,0.230249991,4.318784164,1649
600,0.5958,0.0401,0.338,0.2979,1.17E-05,0.008269862,1337.31,0.568408526,0.404954406,0.218344119,4.806299473,2088
700,0.695,0.0468,0.3943,0.3475,1.01E-05,0.008072273,1989.272,0.568387434,0.423332581,0.208865126,5.254170852,2577
800,0.7954,0.0535,0.4512,0.3977,8.80E-06,0.007904918,2816.731,0.568371443,0.440067545,0.200922367,5.680071778,3117
900,0.894,0.0602,0.5072,0.447,7.83E-06,0.007764148,3806.511,0.568359234,0.454999437,0.19432862,6.076193194,3706
1000,0.994,0.0669,0.5639,0.497,7.04E-06,0.007639651,5002.18,0.568349326,0.468864211,0.188582133,6.459012757,4350
